time sunx Sun sunvx sunvy earthx Earth earthvx earthvy
187171919.613906 701707.799425908 17016590.9262873 -0.0734727401642793 0.151878292413142 -84325599808.6388 -98217543765.7675 24490.9133880931 -20846.0974710475
190404663.317303 411751.975580221 17396371.174247 -0.0961407080475416 0.0799348590197046 12326341473.2568 -128539858041.431 32046.9026825138 3135.04699343184
193620316.006207 146013.575712632 17539273.5213303 -0.0601568983576514 0.0138051140104898 100905808095.787 -80411842406.0197 20052.2994525504 25178.2953298368
196829711.695549 64844.2385335831 17535519.9000628 0.0123087019859453 -0.00634029498980414 127962253822.136 16415162577.1808 -4102.90066198177 31893.4316632681
200039259.78824 216864.309246772 17562031.605217 0.077301671775218 0.0316690197950027 77288896917.7398 103158263991.312 -25767.2239250727 19223.6600683325
203247413.411805 509645.683826442 17777246.230441 0.0952953094715708 0.105004308525527 -20304894608.8168 126958864760.723 -31765.1031571903 -5221.43617517575
206445713.384071 763869.741451645 18224252.9743849 0.054906426907058 0.169124240362642 -105046247150.551 73201984238.7982 -18302.1423023527 -26594.7467875474
209623881.199641 823674.164693018 18802319.0579872 -0.0194888578916298 0.184546992428555 -124981054897.676 -24840878426.4048 6496.28596387658 -31735.6641428516
212776071.053967 654287.714025601 19329916.7802342 -0.0822268388829152 0.141614692674437 -68518904675.2034 -106834577612.555 27408.946294305 -17424.8975581456
215904371.451071 361391.596373242 19658605.2829004 -0.0948860100769934 0.0667500623479234 29113134542.2494 -123236631598.499 31628.6700256645 7529.97921735889
219017358.39408 122959.404915027 19761894.5649024 -0.0500293422579127 0.00565646737469397 108590531694.988 -64961646665.326 16676.4474193042 27894.510875102
222124870.03813 81826.2373128752 19747484.1328861 0.0249776396647741 -0.00481498587384824 122301587562.372 32383521880.7646 -8325.87988825806 31384.9952912828
225232338.300296 262262.949744712 19792088.736644 0.0849119776177726 0.0416259760006271 62156016751.7592 110055719923.017 -28303.9925392576 15904.6746664577
228337820.536962 555103.740089552 20036770.0221507 0.0934800160744446 0.117181243791978 -35457580029.854 120976546879.834 -31160.0053581482 -9280.41459732582
231433252.55823 782005.742850175 20500793.4894349 0.0450678454684944 0.17615304214768 -111091580950.062 58484017847.5315 -15022.6151561648 -28937.6807158934
234509281.129478 804879.778674081 21068134.1280261 -0.0311576997997171 0.18239556102192 -118716259558.031 -39025402994.0605 10385.899933239 -31018.5203406401
237560921.423572 611710.133938043 21559733.0435826 -0.0886758059197941 0.13193439147341 -54326377979.3511 -112013865674.07 29558.6019732647 -14198.1304911366
240590514.249042 321630.688514083 21844688.7246892 -0.092509611124794 0.0556079075515041 42366770495.3021 -116777823780.386 30836.537041598 11244.0308161653
243606156.304278 109527.379028098 21917534.5666469 -0.0406113706364764 -0.000318820964641586 113067873657.297 -51253956083.0337 13537.1235454921 29886.2736548805
246616815.944121 101576.456238322 21898112.1222306 0.0356108035705516 -0.00233489175860467 115718181253.889 44877630750.8055 -11870.2678568506 30558.2972528682
249627202.561052 302055.879830054 21959868.0168172 0.090462448018911 0.0507614765260963 48891706723.3114 113941640628.51 -30154.149339637 12859.5078246346
252635210.925801 590295.788325066 22227510.0029315 0.0908715668519442 0.127315818905905 -47188262775.0261 114306128984.592 -30290.5222839814 -12658.6063019683
255633250.306385 791768.893886345 22700997.7983233 0.0361769177731778 0.181235502253936 -114345964628.786 45758471250.8888 -12058.9725910593 -30631.8340846455
258612771.685657 784751.195017982 23254097.6070535 -0.0407819452231862 0.179626221143684 -112006731672.665 -49877990308.2674 13593.981741062 -30095.4070478946
261569409.302322 575372.526581169 23712526.8536877 -0.0933083215222643 0.123315770531184 -42213842193.7275 -114639076244.98 31102.7738407547 -11325.2568437281
